Time (s),Channel 1 (V),Channel 2 (V)
0.006196426381595799,-3.006244567830755,-3.022726985242793
0.006198276381595798,-3.006244567830755,-3.022726985242793
0.006200126381595799,-3.006244567830755,-3.022726985242793
0.006201976381595799,-3.006244567830755,-3.022726985242793
0.006203826381595798,-3.006244567830755,-3.022726985242793
0.006205676381595799,-3.006244567830755,-3.022726985242793
0.006207526381595799,-2.995666586647032,-3.013080495729988
0.006209376381595798,-2.995666586647032,-3.013080495729988
0.006211226381595799,-2.995666586647032,-3.022726985242793
0.006213076381595799,-3.006244567830755,-3.022726985242793
0.006214926381595798,-3.006244567830755,-3.022726985242793
0.006216776381595799,-3.006244567830755,-3.032373474755598
0.006218626381595799,-3.006244567830755,-3.032373474755598
0.006220476381595798,-3.006244567830755,-3.032373474755598
0.006222326381595799,-3.006244567830755,-3.022726985242793
0.006224176381595799,-3.006244567830755,-3.022726985242794
0.006226026381595798,-3.006244567830755,-3.032373474755597
0.006227876381595799,-3.016822549014479,-3.022726985242793
0.006229726381595799,-3.016822549014479,-3.032373474755598
0.006231576381595798,-3.016822549014479,-3.032373474755598
0.006233426381595799,-3.016822549014479,-3.032373474755598
0.006235276381595799,-3.027400530198202,-3.042019964268403
0.006237126381595798,-3.027400530198202,-3.042019964268403
0.006238976381595799,-3.027400530198202,-3.042019964268403
0.006240826381595799,-3.016822549014479,-3.032373474755598
0.006242676381595798,-3.016822549014479,-3.032373474755598
0.006244526381595799,-3.016822549014479,-3.022726985242793
0.006246376381595799,-3.006244567830086,-3.022726985242751
0.006248226381595798,1.172057999739353,-2.762271768397099
0.006250076381595799,3.054938650442752,-1.836208775167783
0.006251926381595799,3.054938650442754,-1.025903656092066
0.006253776381595798,3.065516631626474,-0.3602958797087334
0.006255626381595799,3.054938650442752,0.1799075330084459
0.006257476381595799,3.054938650442752,0.6332925401103378
0.006259326381595798,3.054938650442752,1.019152120622414
0.006261176381595799,3.044360669259029,1.337486274545037
0.006263026381595799,3.054938650442752,1.597941491390805
0.006264876381595798,3.054938650442752,1.819810750185249
0.006266726381595799,3.044360669259029,2.003094050928577
0.006268576381595799,3.044360669259031,2.16708437264628
0.006270426381595798,3.054938650442751,2.292488736312705
0.006272276381595799,3.054938650442752,2.408246610466384
0.006274126381595799,3.044360669259027,2.485418526568835
0.006275976381595798,3.033782688075307,2.56259044267125
0.006277826381595799,3.044360669259029,2.630115869260897
0.006279676381595799,3.044360669259027,2.678348316824929
0.006281526381595798,3.033782688075307,2.726580764388939
0.006283376381595799,3.033782688075306,2.765166722440166
0.006285226381595799,3.044360669259029,2.803752680491389
0.006287076381595798,3.044360669259029,2.823045659516992
0.006288926381595799,3.033782688075306,2.842338638542605
0.006290776381595799,3.033782688075306,2.871278107081023
0.006292626381595798,3.033782688075306,2.890571086106627
0.006294476381595799,3.044360669259029,2.900217575619435
0.006296326381595799,3.044360669259027,2.909864065132241
0.006298176381595798,3.033782688075307,2.919510554645043
0.006300026381595799,3.033782688075306,2.92915704415785
0.006301876381595799,3.033782688075306,2.938803533670654
0.006303726381595798,3.033782688075306,2.938803533670654
0.006305576381595799,3.033782688075306,2.938803533670654
