Freq.	V(vin)/I(R1)
6.16595001861481e+003	(6.86795339046860e+001dB,-1.76471461500533e+002°)
6.30957344480192e+003	(6.86819296394805e+001dB,-1.76390875634158e+002°)
6.45654229034654e+003	(6.86844358543066e+001dB,-1.76308525661358e+002°)
6.60693448007595e+003	(6.86870575261296e+001dB,-1.76224378359361e+002°)
6.76082975391980e+003	(6.86897998449409e+001dB,-1.76138400269050e+002°)
6.91830970918935e+003	(6.86926682218125e+001dB,-1.76050557724917e+002°)
7.07945784384136e+003	(6.86956682971534e+001dB,-1.75960816887914e+002°)
7.24435960074989e+003	(6.86988059491607e+001dB,-1.75869143781366e+002°)
7.41310241300916e+003	(6.87020873024587e+001dB,-1.75775504330153e+002°)
7.58577575029182e+003	(6.87055187369182e+001dB,-1.75679864403361e+002°)
7.76247116628690e+003	(6.87091068966426e+001dB,-1.75582189860602e+002°)
7.94328234724280e+003	(6.87128586991106e+001dB,-1.75482446602236e+002°)
8.12830516164097e+003	(6.87167813444583e+001dB,-1.75380600623699e+002°)
8.31763771102669e+003	(6.87208823248855e+001dB,-1.75276618074201e+002°)
8.51138038202374e+003	(6.87251694341637e+001dB,-1.75170465320004e+002°)
8.70963589956079e+003	(6.87296507772258e+001dB,-1.75062109012548e+002°)
8.91250938133744e+003	(6.87343347798095e+001dB,-1.74951516161679e+002°)
9.12010839355908e+003	(6.87392301981256e+001dB,-1.74838654214231e+002°)
9.33254300796989e+003	(6.87443461285203e+001dB,-1.74723491138230e+002°)
9.54992586021434e+003	(6.87496920170921e+001dB,-1.74605995513002e+002°)
9.77237220955809e+003	(6.87552776692258e+001dB,-1.74486136625441e+002°)
9.99999999999998e+003	(6.87611132589961e+001dB,-1.74363884572724e+002°)
1.02329299228075e+004	(6.87672093383930e+001dB,-1.74239210371737e+002°)
1.04712854805090e+004	(6.87735768463129e+001dB,-1.74112086075499e+002°)
1.07151930523760e+004	(6.87802271172578e+001dB,-1.73982484896837e+002°)
1.09647819614318e+004	(6.87871718896747e+001dB,-1.73850381339582e+002°)
1.12201845430196e+004	(6.87944233138659e+001dB,-1.73715751337544e+002°)
1.14815362149688e+004	(6.88019939593925e+001dB,-1.73578572401495e+002°)
1.17489755493953e+004	(6.88098968218869e+001dB,-1.73438823774400e+002°)
1.20226443461741e+004	(6.88181453291851e+001dB,-1.73296486595089e+002°)
1.23026877081238e+004	(6.88267533466812e+001dB,-1.73151544070572e+002°)
1.25892541179416e+004	(6.88357351817988e+001dB,-1.73003981657135e+002°)
1.28824955169313e+004	(6.88451055874712e+001dB,-1.72853787250358e+002°)
1.31825673855640e+004	(6.88548797645076e+001dB,-1.72700951384132e+002°)
1.34896288259165e+004	(6.88650733627227e+001dB,-1.72545467438725e+002°)
1.38038426460288e+004	(6.88757024806949e+001dB,-1.72387331857894e+002°)
1.41253754462275e+004	(6.88867836640116e+001dB,-1.72226544374972e+002°)
1.44543977074592e+004	(6.88983339018558e+001dB,-1.72063108247829e+002°)
1.47910838816820e+004	(6.89103706217770e+001dB,-1.71897030502486e+002°)
