Frequency (Hz),Trace Vrms (V),Input imp
12493.36847,0.35394469,26970.1505
13039.69214,0.353979307,26967.51297
13609.90604,0.354058884,26961.45185
14205.05488,0.353993996,26966.39396
14826.22904,0.354026545,26963.91464
15474.56658,0.354040114,26962.88125
16151.25533,0.353922143,26971.86862
16857.53507,0.354066136,26960.89963
17594.69978,0.354139363,26955.32477
18364.10003,0.354044974,26962.51111
19167.14546,0.353984955,26967.08266
20005.30733,0.35395033,26969.72069
20880.12127,0.354050713,26962.07408
21793.19002,0.353928095,26971.41507
22746.18644,0.354016086,26964.7113
23740.85653,0.35398087,26967.39387
24779.02264,0.354049099,26962.19699
25862.58681,0.353982029,26967.30561
26993.53426,0.353975246,26967.82233
28173.93702,0.354046699,26962.37971
29405.95771,0.354014059,26964.86569
30691.85356,0.354004917,26965.56201
32033.98046,0.354038078,26963.03628
33434.79735,0.353975816,26967.77892
34896.87069,0.354003096,26965.70075
36422.87918,0.35399594,26966.24588
38015.61863,0.353965987,26968.52777
39678.00713,0.353970695,26968.16909
41413.09037,0.353918019,26972.1829
43224.04723,0.353891269,26974.22173
45114.19558,0.353992399,26966.51558
47086.99841,0.353981526,26967.3439
49146.07012,0.353886406,26974.59237
51295.18316,0.353942174,26970.34222
53538.27497,0.353919362,26972.08058
55879.45514,0.354012197,26965.00751
58323.013,0.353941511,26970.39272
60873.42543,0.354055328,26961.72264
63535.36508,0.353859332,26976.65623
66313.70893,0.353832992,26978.66443
69213.54724,0.353858426,26976.72527
72240.19284,0.353945389,26970.0972
75399.19092,0.353850935,26977.29637
78696.3291,0.354154941,26954.13912
82137.64815,0.354103098,26958.08536
85729.45296,0.354312463,26942.1557
89478.32414,0.354392548,26936.06734
93391.13004,0.354332681,26940.61843
97475.0394,0.354455014,26931.32042
101737.5344,0.354231626,26948.304
106186.4245,0.354184804,26951.86647
110829.8604,0.354251663,26946.77977
115676.3496,0.354282945,26944.40044
120734.7714,0.354337157,26940.2781
126014.3934,0.354446472,26931.96941
131524.8885,0.354390236,26936.24306
137276.3525,0.354488829,26928.75137
143279.3228,0.354402685,26935.29691
149544.7975,0.354386716,26936.51063
156084.2558,0.354510641,26927.09452
162909.6787,0.354348888,26939.38622
170033.5711,0.354484385,26929.089
177468.9848,0.354639611,26917.30213
185229.5424,0.354619497,26918.82888
193329.4622,0.354555951,26923.65339
201783.5841,0.354644373,26916.94069
210607.3971,0.354612207,26919.3822
219817.0675,0.354730296,26910.4208
229429.4684,0.35470472,26912.3612
239462.2108,0.354738135,26909.82619
249933.6759,0.354756107,26908.46294
260863.0488,0.354855846,26900.8998
272270.3531,0.354785098,26906.26409
284176.4886,0.354855083,26900.95758
296603.2685,0.354819125,26903.68379
309573.4602,0.354766388,26907.6831
323110.8267,0.354888061,26898.45783
337240.1699,0.354963601,26892.73355
351987.3765,0.354881004,26898.99274
367379.465,0.354828833,26902.94771
383444.6356,0.354899922,26897.55888
400212.3215,0.354546769,26924.35066
417713.2431,0.354531391,26925.51859
435979.4641,0.354276453,26944.89417
455044.4504,0.354198886,26950.79491
474943.1313,0.353368117,27014.15631
495711.9633,0.353223879,27025.18745
517388.9976,0.349295405,27329.13574
540013.9489,0.34606386,27584.33531
563628.2688,0.336661475,28354.71907
588275.2215,0.321450867,29696.42496
613999.963,0.309948281,30798.49808
640849.6241,0.29896525,31929.93687
668873.3966,0.292339918,32653.56848
698122.6232,0.287431079,33211.23654
728650.8919,0.284636372,33537.32165
760514.1341,0.283404404,33683.10937
793770.727,0.283606828,33659.06813
828481.6005,0.284839462,33513.40951
864710.349,0.287110724,33248.29327
902523.3478,0.290270805,32886.33027
941989.8747,0.293562359,32517.59382
983182.237,0.2958121,32270.28758
1026175.904,0.301301275,31682.38018
1071049.645,0.304888651,31309.59948
1117885.674,0.308700933,30922.94359
1166769.8,0.312623156,30534.97915
1217791.584,0.315807649,30227.07521
1271044.505,0.318684576,29954.20002
1326626.128,0.321219674,29717.7985
1384638.284,0.323206737,29535.09457
1445187.26,0.324798789,29390.32368
1508383.987,0.326845656,29206.26719
1574344.25,0.32733797,29162.34115
1643188.895,0.328125884,29092.31491
1715044.054,0.328460098,29062.713
1790041.374,0.328739004,29038.05581
1868318.259,0.328855634,29027.75733
1950018.121,0.328666892,29044.42695
2035290.643,0.328389536,29068.9577
2124292.056,0.327859268,29115.97282
2217185.42,0.327142064,29179.80476
2314140.926,0.32639906,29246.22865
2415336.208,0.325474437,29329.31271
2520956.669,0.324242979,29440.70389
2631195.816,0.323053894,29549.06817
2746255.621,0.321514635,29690.5351
2866346.887,0.319966842,29834.15869
2991689.635,0.318071268,30011.95806
3122513.507,0.316200529,30189.51791
3259058.189,0.313937261,30407.16329
3401573.846,0.311792418,30616.33638
3550321.583,0.309181777,30874.85182
3705573.924,0.306380584,31157.13607
3867615.308,0.303531216,31449.62043
4036742.616,0.300264899,31791.73314
4213265.707,0.296647921,32179.36434
4397507.992,0.293169353,32561.18508
4589807.026,0.289157787,33012.91533
4790515.121,0.284972121,33497.80858
5000000,0.280434346,34039.84456
